CLEANUP latency raw data: op, timestamp(ms), latency(us)
CLEANUP,1668369328792,3237
INSERT latency raw data: op, timestamp(ms), latency(us)
INSERT,1668369327413,1624140
INSERT,1668369327454,40671
INSERT,1668369327468,14622
INSERT,1668369327513,44632
INSERT,1668369327549,35294
INSERT,1668369327563,13791
INSERT,1668369327606,42529
INSERT,1668369327634,28246
INSERT,1668369327653,18403
INSERT,1668369327667,14650
INSERT,1668369327686,18551
INSERT,1668369327719,33059
INSERT,1668369327735,15633
INSERT,1668369327748,12920
INSERT,1668369327757,8088
INSERT,1668369327768,11574
INSERT-FAILED latency raw data: op, timestamp(ms), latency(us)
INSERT-FAILED,1668369328788,1018769
